timestamp,visitorid,event,itemid,transactionid,addcart_category,most_viewed_category,total_events,unique_items_viewed
2015-06-02 05:33:56.124,287857,addtocart,5206,,381.0,381.0,2,1.0
2015-06-02 04:57:58.505,158090,addtocart,10572,,1037.0,1037.0,4,1.0
2015-06-02 05:39:03.021,1193904,addtocart,255275,,1002.0,1002.0,2,1.0
2015-06-02 05:12:21.632,599528,addtocart,356475,,386.0,386.0,17,2.0
2015-06-02 04:54:40.956,105775,addtocart,312728,,1098.0,1098.0,3,1.0
2015-06-01 21:42:49.716,196602,addtocart,63312,,491.0,491.0,4,1.0
2015-06-02 04:44:14.274,56229,addtocart,115244,,1649.0,1649.0,7,3.0
2015-06-02 04:19:17.551,168685,addtocart,111530,,1625.0,1625.0,157,18.0
2015-06-02 03:45:35.395,772309,addtocart,72422,,434.0,1340.0,4,2.0
2015-06-02 04:12:33.931,1092695,addtocart,383488,,618.0,618.0,10,1.0
2015-06-02 04:00:21.937,239740,addtocart,367667,,1247.0,1247.0,6,4.0
2015-06-02 03:59:45.094,1092695,addtocart,38796,,1020.0,618.0,10,1.0
2015-06-02 04:05:11.121,1203684,addtocart,80953,,911.0,703.0,44,34.0
2015-06-02 04:13:47.136,571258,addtocart,50329,,927.0,927.0,6,3.0
2015-06-01 16:07:05.959,273406,addtocart,214912,,367.0,367.0,35,19.0
2015-06-01 16:19:06.693,615793,addtocart,355994,,1051.0,1051.0,20,7.0
2015-06-01 15:57:14.860,1345880,addtocart,52888,,914.0,914.0,2,1.0
2015-06-01 16:27:56.757,1292420,addtocart,47352,,1404.0,1404.0,6,1.0
2015-06-01 16:08:12.472,273406,addtocart,120098,,427.0,367.0,35,19.0
2015-06-01 15:56:28.395,1162854,addtocart,13031,,959.0,959.0,3,1.0
2015-06-01 16:21:25.211,749276,addtocart,61240,,1279.0,1279.0,2,1.0
2015-06-01 15:34:47.919,140279,addtocart,255708,,1317.0,1317.0,2,1.0
2015-06-01 16:32:00.539,1235292,addtocart,240004,,337.0,610.0,59,30.0
2015-06-01 15:59:01.347,189384,addtocart,310791,,437.0,437.0,29,7.0
2015-06-01 16:24:55.575,138131,addtocart,430292,,1415.0,959.0,1611,883.0
2015-06-01 15:30:17.625,293206,addtocart,379092,,822.0,822.0,6,3.0
2015-06-01 18:14:46.696,1236753,addtocart,435090,,120.0,1317.0,13,4.0
2015-06-01 18:25:29.913,1235292,addtocart,150183,,1355.0,610.0,59,30.0
2015-06-01 18:26:25.104,286616,addtocart,183087,,1018.0,317.0,2252,1230.0
2015-06-01 18:07:52.067,680869,addtocart,29196,,1265.0,1483.0,5,3.0
2015-06-01 18:29:54.482,173858,addtocart,416187,,610.0,610.0,52,26.0
2015-06-01 18:32:00.078,173858,addtocart,293735,,610.0,610.0,52,26.0
2015-06-01 18:00:42.757,1235292,addtocart,240004,,337.0,610.0,59,30.0
2015-06-01 18:39:55.656,404403,addtocart,416187,,610.0,610.0,539,338.0
2015-06-01 14:17:50.532,840329,addtocart,153778,,1221.0,1221.0,3,1.0
2015-06-01 13:55:02.999,1205129,addtocart,73602,,34.0,959.0,11,5.0
2015-06-01 13:29:03.211,242427,addtocart,415610,,984.0,984.0,11,2.0
2015-06-01 14:45:41.960,558524,addtocart,389792,,1135.0,1135.0,2,1.0
2015-06-01 17:30:37.490,1045411,addtocart,317691,,1317.0,1317.0,20,14.0
2015-06-01 17:06:50.977,169963,addtocart,246130,,844.0,633.0,12,5.0
